country_id,period_id,Value
0,0,28237.535251999998
0,1,28168.877107999997
0,2,27920.738726
0,3,28004.308086
0,4,27533.090877
0,5,27415.043510000003
0,6,27449.886604000003
0,7,27402.195247000003
0,8,27527.968107999997
0,9,27658.667291
0,10,27860.026461
0,11,28389.264942
0,12,28503.197447000002
0,13,28610.316819
0,14,28557.499925
0,15,29011.301251
0,16,29508.469898000003
0,17,29705.307001999998
0,18,29868.105537
0,19,30100.907649
0,20,30019.173749
0,21,30038.845581
0,22,30614.378610000003
0,23,30552.318891000003
0,24,30927.426017
0,25,31085.841023
0,26,31251.240474000002
0,27,31432.283534
0,28,31519.233847000003
0,29,32395.496962999998
0,30,32355.651617000003
0,31,32729.376614999997
0,32,32874.049848
0,33,33121.602418
0,34,33660.659251
0,35,34083.954142
0,36,34207.633232
0,37,34258.87451
0,38,34553.993309
0,39,35042.213329000006
0,40,35067.538223
0,41,35319.814367
0,42,35273.611958999994
0,43,35037.235239
0,44,35227.458554000004
0,45,35434.164196
0,46,35754.228324
0,47,36080.677517000004
0,48,36222.040799
0,49,36786.099078
0,50,36814.003139
0,51,36957.297793
0,52,36837.773916000006
0,53,36877.943416
0,54,37353.232116
0,55,37912.844965
0,56,38108.784616000004
0,57,38317.633572000006
0,58,38473.559648
0,59,38646.047741
0,60,38774.617128
0,61,38863.793693
0,62,39119.689556
0,63,39361.118505
0,64,39297.040489
0,65,39283.367927
0,66,39667.436667
0,67,39966.566636
0,68,40322.665813
0,69,40402.395159
0,70,40668.392332999996
0,71,40695.996722
0,72,40912.801128
0,73,40801.84523
0,74,40893.388646
0,75,40476.427411000004
0,76,40659.534888
0,77,40720.923877
0,78,40655.524886
0,79,40793.842745999995
0,80,40813.373317000005
0,81,40956.135638
0,82,41069.253808
0,83,41354.572334
0,84,41083.645133
0,85,41387.242725
0,86,41753.32895
0,87,42030.911559
0,88,42245.073772
0,89,42495.786525
0,90,42454.397241000006
0,91,42494.847305
0,92,42436.055495
0,93,42510.954479
0,94,42636.017438
0,95,42800.70617
0,96,42925.672276
0,97,43070.671862
0,98,43079.190668
0,99,43103.428817
0,100,43356.311408
0,101,43342.46162
0,102,43563.731016000005
0,103,43640.049494
0,104,43896.537587
0,105,44106.273310000004
0,106,43784.359469
0,107,44022.293408
0,108,43975.620956
0,109,44233.03615
0,110,44315.087792
1,20,32688.608245999996
1,21,32823.682331
1,22,32891.044976
1,23,32993.780648
1,24,33213.41209
1,25,33472.193357
1,26,33521.993925
1,27,33682.324748
1,28,33820.948324000005
1,29,33958.394422000005
1,30,34351.116276
1,31,34675.937602
1,32,35085.7566
1,33,35380.37601
1,34,35484.317317
1,35,35516.176078
1,36,35968.696053
1,37,36229.377418000004
1,38,36722.399879000004
1,39,37029.723262
1,40,37424.866774
1,41,37648.943613999996
1,42,37828.47471
1,43,38112.014719
1,44,38060.7457
1,45,37967.008282999996
1,46,38019.680324
1,47,38231.573217000005
1,48,38305.2631
1,49,38411.703033
1,50,38499.832148
1,51,38578.941894
1,52,38516.668444
1,53,38557.720577
1,54,38725.115701
1,55,38840.481995999995
1,56,39196.373544
1,57,39349.811444
1,58,39493.186685
1,59,39467.958075
1,60,39616.26349
1,61,39983.26234
1,62,40089.985093
1,63,40355.793147000004
1,64,40789.931264
1,65,41111.592706
1,66,41427.554141
1,67,41841.873982
1,68,42213.77513
1,69,42693.020119
1,70,42769.578982
1,71,43166.630999
1,72,43500.404024
1,73,43229.66101
1,74,42956.507027
1,75,42270.179641
1,76,41609.338081
1,77,41154.022273
1,78,41218.932312
1,79,41651.801386
1,80,41348.638867
1,81,41999.813057
1,82,42366.100267
1,83,42559.257307
1,84,43138.909258
1,85,43153.421969999996
1,86,43186.378825
1,87,43161.147686000004
1,88,43505.879311000004
1,89,43155.360756
1,90,43178.278764999995
1,91,43166.254539
1,92,42860.561785000005
1,93,42913.286261
1,94,43079.293882
1,95,43127.800594
1,96,43081.167208
1,97,42985.080798
1,98,43046.595341
1,99,43095.522614999994
1,100,42973.565087
1,101,43096.584825
1,102,43131.135136000004
1,103,43133.816598000005
1,104,43083.852714
1,105,43093.473094
1,106,43105.219701
1,107,43273.795452
1,108,43740.746763999996
1,109,43971.937551999996
1,110,44250.332752999995
2,20,31582.601413
2,21,31727.788858999997
2,22,31943.290139999997
2,23,32044.405479
2,24,31976.869798000003
2,25,32201.664015
2,26,32331.102001
2,27,32557.166287
2,28,32858.314843
2,29,33326.406099
2,30,33586.368973000004
2,31,33758.837283999994
2,32,33838.413670999995
2,33,33937.863638
2,34,34017.761202999995
2,35,34085.210195
2,36,34432.672691
2,37,34879.310506
2,38,35350.616506
2,39,35736.337189
2,40,35992.731545999995
2,41,36218.847950999996
2,42,36334.564876
2,43,36613.697578
2,44,36570.96805
2,45,36531.843132999995
2,46,36400.292322
2,47,36326.051788
2,48,36628.606568
2,49,36921.698714
2,50,37069.987844
2,51,37138.386446
2,52,36959.747276999995
2,53,36968.334059
2,54,37064.240818
2,55,37286.579802
2,56,37841.994514
2,57,38180.056301
2,58,38458.474896
2,59,38522.061473
2,60,38633.861752
2,61,38778.624169999996
2,62,38858.096068
2,63,39087.081027
2,64,39284.113153
2,65,39356.40640299999
2,66,39612.804348000005
2,67,39952.490633
2,68,40405.564748000004
2,69,40495.517549000004
2,70,40716.191878
2,71,40837.375709
2,72,41015.513856
2,73,41004.061455
2,74,40691.296888
2,75,39735.58705
2,76,39238.532919
2,77,39119.374933
2,78,39463.504127
2,79,39686.547354
2,80,39805.399966000004
2,81,40125.842197000005
2,82,40192.236285
2,83,40240.275045
2,84,40436.238882
2,85,40479.10667
2,86,40459.005333
2,87,40420.141681
2,88,40432.840821
2,89,40318.170569
2,90,40237.278911
2,91,40101.882552999996
2,92,39930.513471
2,93,40108.148021
2,94,40242.619676
2,95,40296.417334
2,96,40382.178747000005
2,97,40438.915047
2,98,40541.059468
2,99,40585.61197799999
2,100,40720.555355000004
2,101,40866.677089
2,102,40836.026834
2,103,40943.982517000004
2,104,41025.159149
2,105,41292.420658999996
2,106,41286.786871
2,107,41328.630089
2,108,41579.348536000005
2,109,41726.157746
2,110,41760.728726
3,0,31429.727469999998
3,1,31181.41858
3,2,30819.007370999996
3,3,30414.839467
3,4,29923.916914999998
3,5,29981.151379000003
3,6,29903.177229
3,7,29861.313456
3,8,29823.529215
3,9,29766.252352999996
3,10,29819.315794
3,11,29879.666213999997
3,12,30007.234775
3,13,30209.017667
3,14,30408.301321
3,15,30431.024523000004
3,16,30826.168659
3,17,31200.351925
3,18,31497.369227999996
3,19,31621.550466000004
3,20,31863.384072000004
3,21,31798.237249
3,22,31741.163308999996
3,23,31767.988364999997
3,24,31733.129129
3,25,31881.091226999997
3,26,32056.524077
3,27,32204.893766
3,28,32582.298887
3,29,32875.745375
3,30,33170.707725
3,31,33389.436411
3,32,33819.609319
3,33,33776.196848
3,34,34004.736558
3,35,34376.932554
3,36,34967.063719
3,37,35197.238826
3,38,35643.705107
3,39,36042.677506
3,40,36577.413929
3,41,36930.683487
3,42,37192.263482999995
3,43,37139.565842
3,44,37283.823895
3,45,37275.38777
3,46,37115.567099
3,47,37211.831401999996
3,48,37716.40517
3,49,37830.535099
3,50,38034.285762
3,51,38133.05378
3,52,38307.10602
3,53,38165.59598
3,54,38198.361982999995
3,55,38347.310635
3,56,38574.449978
3,57,38945.457911000005
3,58,39293.565353
3,59,39452.831313999995
3,60,39540.681101
3,61,39740.488407
3,62,40103.337558
3,63,40362.981227
3,64,40633.349151
3,65,40557.916156
3,66,40545.703422000006
3,67,40563.547197
3,68,40778.945892
3,69,41086.391998
3,70,41128.165699
3,71,41044.560698
3,72,41008.395617
3,73,41054.912867
3,74,41249.303351999995
3,75,40618.243377
3,76,39624.303326
3,77,39088.314035
3,78,39128.79129
3,79,39440.72459
3,80,39850.450232999996
3,81,39958.098083
3,82,40106.971491000004
3,83,40410.430672
3,84,40668.145218
3,85,40668.332527
3,86,41098.146033
3,87,41270.802842000005
3,88,41203.801689
3,89,41238.717295
3,90,41166.074369
3,91,41061.697429
3,92,41419.380232999996
3,93,41589.084451
3,94,41771.372998
3,95,42028.908851
3,96,42027.290513
3,97,42435.386686
3,98,42598.567504
3,99,42636.922132
3,100,42522.518391000005
3,101,42407.351044999996
3,102,42530.098357999996
3,103,42421.814332
3,104,42616.247869
3,105,42381.585458999994
3,106,42659.174735
3,107,42717.940555
3,108,43035.979898000005
3,109,43384.432789
3,110,43393.663688
4,24,12494.098042
4,25,12596.324106999999
4,26,12698.501915
4,27,12821.446215
4,28,12916.465157999999
4,29,13173.643156
4,30,13439.329296000002
4,31,13667.78832
4,32,13565.500356
4,33,13787.341194999999
4,34,13673.670321000001
4,35,13144.314575
4,36,13053.640793999999
4,37,13037.426636
4,38,13315.797112999999
4,39,13567.669411
4,40,13572.960222
4,41,13522.030846000001
4,42,13674.546355
