country_id,period_id,Value
0,0,-6.12614908171466
0,1,-4.39147283094705
0,2,-4.13163978988711
0,3,-4.8346250513661
0,4,-3.88289318168608
0,5,-3.2860213388068096
0,6,-3.06990151333173
0,7,-2.94629856967482
0,8,-2.95373298178782
0,9,-3.2291228562082304
0,10,-3.73823123709718
0,11,-3.16530958670334
0,12,-2.8910866344145503
0,13,-3.11238327458412
0,14,-3.2450934434784102
0,15,-2.90914128383176
0,16,-2.8284477553554304
0,17,-4.37987385561242
0,18,-5.50030543677459
0,19,-5.37460884381605
0,20,-5.74680263676827
0,21,-5.050833995234309
0,22,-4.40316611202687
0,23,-4.85371731901522
0,24,-3.96959205178383
0,25,-2.7144625556865094
0,26,-3.82502783245965
0,27,-3.3933528069639998
0,28,-3.00745924773919
0,29,-1.9187564941447401
0,30,-3.0897290212837203
0,31,-3.6517960209139706
0,32,-5.0375676149623
0,33,-4.20222628299096
0,34,-5.508630670455741
0,35,-4.90562626321329
0,36,-5.6426472753342996
0,37,-5.95025230189688
0,38,-5.6666895522947005
0,39,-4.71502527111242
0,40,-4.84977314136687
0,41,-4.91002600948581
0,42,-3.2968042823994304
0,43,-3.3980133980133997
0,44,-2.3836810822350296
0,45,-2.1074416948549
0,46,-1.73770420340239
0,47,-2.7797921198936404
0,48,-2.67459762806804
0,49,-3.58888848737023
0,50,-3.9305380802714103
0,51,-5.0118231734199
0,52,-4.98887892643249
0,53,-5.6398802218840505
0,54,-5.38598779879523
0,55,-5.40082333050772
0,56,-5.71213207581858
0,57,-5.59010152284264
0,58,-6.69551548279342
0,59,-7.282330696778669
0,60,-6.60412693355835
0,61,-5.76476194894417
0,62,-5.693875536692491
0,63,-5.767657100934
0,64,-5.64119540376585
0,65,-6.12878871289932
0,66,-5.55343584264947
0,67,-6.17222850678733
0,68,-6.3523264855280495
0,69,-6.59576826664855
0,70,-6.7569564666638495
0,71,-7.18352212505481
0,72,-6.99119609674515
0,73,-5.67858184571116
0,74,-3.72300086625691
0,75,-2.74836617863114
0,76,-1.79873432956842
0,77,-5.037475585546
0,78,-5.29349401899361
0,79,-6.53725449704161
0,80,-5.67182184772058
0,81,-2.74700459605218
0,82,-2.9456949326133
0,83,-3.3676482780110897
0,84,-3.5373556346448702
0,85,-3.01351565878573
0,86,-2.55402591953003
0,87,-3.2440344853566403
0,88,-4.5631694688712905
0,89,-3.57597258957749
0,90,-4.26392328362927
0,91,-4.81187598528639
0,92,-3.27200170432993
0,93,-3.4514043095649303
0,94,-3.7430132032950896
0,95,-3.09685645726448
0,96,-2.45975032926475
0,97,-3.2394086221890896
0,98,-3.4669903419732404
0,99,-3.1374519247427304
0,100,-3.1709415747579803
0,101,-5.08146106743105
0,102,-4.9164502543452695
0,103,-5.57276819751264
0,104,-3.6696982820846005
0,105,-3.8533839047939997
0,106,-2.90016889385127
0,107,-1.06505285344745
0,108,-1.2602927261379901
0,109,-2.1626121418677102
0,110,-2.02957282218495
1,24,-2.96515955188014
1,25,-3.1304991563312696
1,26,-2.88202346105213
1,27,-2.39517062798462
1,28,-3.03890068257801
1,29,-2.72196799672635
1,30,-2.6783879981434704
1,31,-1.75370104601354
1,32,-2.74752056694239
1,33,-1.16309657633594
1,34,-1.79217156959636
1,35,-1.77525168481826
1,36,-2.5058748046584
1,37,-2.3608338367158903
1,38,-2.43505953344365
1,39,-1.7680617360540198
1,40,-0.9017075929613979
1,41,-0.35056037773130605
1,42,-0.718694975101046
1,43,-0.854375318701437
1,44,-1.70429406964073
1,45,-1.0422828726720998
1,46,-0.18384914088274398
1,47,-0.26338408510635897
1,48,2.65685264332799
1,49,1.30872521220791
1,50,2.62680107353861
1,51,1.8219631776293002
1,52,1.39119120946619
1,53,1.41441359137351
1,54,1.61180919215828
1,55,1.7624662933711899
1,56,2.50630284944344
1,57,3.07162912103324
1,58,2.15296189169428
1,59,0.6100596832944379
1,60,3.2636676389445602
1,61,1.52696621247471
1,62,1.97135306438025
1,63,2.30156458208114
1,64,3.16149339871916
1,65,3.1244036777857502
1,66,2.6316689526882904
1,67,4.2275965076939395
1,68,3.9958717204557903
1,69,4.4987827718243
1,70,3.18127206560255
1,71,3.52910682560907
1,72,5.888614849558481
1,73,3.60108427266231
1,74,5.23820608180875
1,75,3.2799353293303994
1,76,2.55459171632643
1,77,2.41225290097175
1,78,2.72383630971407
1,79,2.69544836979514
1,80,3.7036939555997503
1,81,2.65723613175498
1,82,2.92501887767003
1,83,2.16143052945272
1,84,1.40893169620706
1,85,1.9121993996699398
1,86,0.6901076880032839
1,87,2.51113000977243
1,88,1.06894418952103
1,89,1.93777016861888
1,90,1.8748065438926202
1,91,1.0539141429840402
1,92,3.19774673550143
1,93,1.80753770033362
1,94,1.4283873314134699
1,95,1.3528874363279502
1,96,0.16267539247805202
1,97,1.92937069734476
1,98,2.18282421348328
1,99,5.55373021899328
1,100,2.3671439388396203
1,101,1.92723049850125
1,102,1.66617766777872
1,103,1.73716271536847
1,104,3.70238833088334
1,105,2.00282297975387
1,106,2.19359771537442
1,107,0.629288944015959
1,108,1.8529761784124898
1,109,3.31123947606426
1,110,2.8300830764967597
2,52,2.39479599227935
2,53,4.641073312011679
2,54,3.10169816143144
2,55,3.9613833454694403
2,56,3.2293660881053996
2,57,2.8364071748431403
2,58,3.3716146591976406
2,59,3.62804580739681
2,60,2.8831350925546
2,61,3.09731367183905
2,62,1.19920987011661
2,63,1.19870534597593
2,64,0.255372007035545
2,65,0.3834854920725179
2,66,3.3210861944417993
2,67,3.6322096298425297
2,68,3.45172017986135
